n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9741113168028421,5.10000000,10.35783124,7
8,1,0.9009128280993873,4.95000000,2.47536755,9
8,2,0.9595873899411723,5.10000000,1.92207527,7
8,3,0.9889125547551778,5.25000000,2.19979525,8
8,4,0.9535734443738594,5.10000000,1.11242199,4
8,5,0.9770738837513376,5.25000000,1.94258666,7
8,6,0.6810818354265831,5.10000000,1.66823435,6
8,7,0.9817586930030311,5.10000000,1.65778661,6
8,8,0.9702524758178285,5.10000000,1.64616466,6
8,9,0.9624228897069755,5.10000000,1.92747259,7
8,10,0.9561581180427685,5.40000000,2.48282290,9
8,11,0.9559900030969279,5.40000000,1.65799141,6
8,12,0.9516500039736413,5.10000000,2.20822072,8
8,13,0.960261028040441,5.10000000,1.66617513,6
8,14,0.7451144362519089,5.85000000,1.94645596,7
8,15,0.9578788003026792,4.95000000,1.64101887,6
8,16,0.9632928136919553,5.25000000,1.65673161,6
8,17,0.9581815356319976,5.10000000,1.65128088,6
8,18,0.9666232720569677,5.70000000,2.22357249,8
8,19,0.9570828853104741,5.70000000,1.66797709,6
12,0,0.963022287414647,7.20000000,3.42709446,11
12,1,0.9639121805127071,7.50000000,1.85149455,6
12,2,0.9513610135377686,7.35000000,1.55092478,5
12,3,0.9708823291373392,8.55000000,3.04728222,10
12,4,0.7084185697497591,7.20000000,1.86156845,6
12,5,0.95103776989238,7.95000000,3.09556603,10
12,6,0.9645656653455257,7.35000000,2.76721358,9
12,7,0.9560683360127198,7.20000000,2.76704097,9
12,8,0.9652227575883414,8.25000000,3.70893097,12
12,9,0.9682302858377011,7.35000000,2.77239609,9
12,10,0.9689902845980913,7.50000000,2.76654458,9
12,11,0.9568350738914231,7.20000000,3.06936860,10
12,12,0.9512941638739337,8.10000000,2.46762419,8
12,13,0.9225745504173206,8.55000000,2.76934671,9
12,14,0.928990397957506,7.35000000,3.08171391,10
12,15,0.9543197123154558,7.35000000,2.77250600,9
12,16,0.9596712089505636,7.35000000,2.17149448,7
12,17,0.9521165826302764,7.20000000,3.08082581,10
12,18,0.860724485236861,7.20000000,2.46813846,8
12,19,0.8628200092020923,7.35000000,2.14802194,7
16,0,0.952761672323327,10.35000000,4.75203228,14
16,1,0.9543109958751288,9.45000000,3.73334193,11
16,2,0.9749522982256906,11.55000000,4.42229033,13
16,3,0.9707439162908708,9.45000000,5.06190181,15
16,4,0.956346573560797,11.55000000,3.05721259,9
16,5,0.9560302753212024,9.45000000,3.72100449,11
16,6,0.9717010898466338,9.60000000,4.43910146,13
16,7,0.9669744341392069,9.45000000,4.36974573,13
16,8,0.9527214421394309,9.60000000,3.37918782,10
16,9,0.9612797068171706,9.45000000,3.35716081,10
16,10,0.9603075400396702,9.45000000,4.04395199,12
16,11,0.9551794266213945,9.60000000,4.08365488,12
16,12,0.9522320741030522,9.45000000,4.04218626,12
16,13,0.958714932344193,9.45000000,4.05295491,12
16,14,0.9667838818601638,9.75000000,3.69323111,11
16,15,0.9576650622414035,9.45000000,4.74049354,14
16,16,0.9622244283710374,9.45000000,3.68062806,11
16,17,0.9570672155142942,9.45000000,4.38575149,13
16,18,0.9519260663774141,11.70000000,3.70896196,11
16,19,0.919665422310445,10.50000000,4.05328083,12
20,0,0.9521280442788548,11.55000000,5.93284750,16
20,1,0.9383087251682339,12.00000000,6.67830610,18
20,2,0.9582758372832736,11.55000000,5.56248593,15
20,3,0.9658481958205368,13.20000000,6.28079939,17
20,4,0.9505062425473144,13.95000000,4.08516264,11
20,5,0.9523424988122372,12.15000000,5.92624235,16
20,6,0.9593324639558106,11.70000000,4.05946350,11
20,7,0.9537296979747024,11.85000000,5.14643025,14
20,8,0.9552932315918209,13.50000000,5.66567922,15
20,9,0.9594550074510972,11.70000000,5.51927376,15
20,10,0.966920200197781,11.70000000,5.54143000,15
20,11,0.9501911825666559,12.45000000,5.55007529,15
20,12,0.963097145252584,13.65000000,5.16236973,14
20,13,0.961731598760362,12.45000000,7.38558030,20
20,14,0.952054795568256,14.10000000,4.41514373,12
20,15,0.954823968694381,11.85000000,4.43303037,12
20,16,0.9515458932648748,11.55000000,5.88760090,16
20,17,0.9555416895971962,13.35000000,4.04380178,11
20,18,0.9604984438228987,12.30000000,4.81269312,13
20,19,0.9581891151856357,11.55000000,5.17781138,14
24,0,0.9515655543683301,14.10000000,6.43742228,16
24,1,0.9588167166255004,15.45000000,6.07901525,15
24,2,0.9517153893008594,13.80000000,6.85703111,17
24,3,0.9563382146094537,15.45000000,6.45322466,16
24,4,0.9549519964911584,16.35000000,6.51333213,16
24,5,0.9539268308036618,13.80000000,6.86134481,17
24,6,0.9500449665856929,13.80000000,5.62982607,14
24,7,0.9602101163318912,13.80000000,7.22685814,18
24,8,0.9534924021681427,16.50000000,7.27084208,18
24,9,0.950343068239583,14.70000000,7.71759343,19
24,10,0.9524868589080715,13.80000000,7.74565935,19
24,11,0.9627778975872928,13.95000000,7.23996758,18
24,12,0.9528471556202099,14.10000000,6.48590994,16
24,13,0.9533374950137035,16.95000000,9.45638847,23
24,14,0.9632424974584007,13.80000000,6.82568192,17
24,15,0.9666160817471584,13.95000000,6.83248329,17
24,16,0.9623279594718395,17.10000000,7.33103895,18
24,17,0.9526215458360183,15.30000000,6.39943886,16
24,18,0.9531085796352184,16.50000000,7.57845664,19
24,19,0.9359713076747996,13.80000000,6.85332608,17
28,0,0.9512215945206883,18.90000000,8.30995321,19
28,1,0.954699812919845,16.20000000,7.89004230,18
28,2,0.9562026149340475,17.85000000,8.76019669,20
28,3,0.9573154386649374,16.05000000,8.31173444,19
28,4,0.9619308717167888,16.05000000,6.97084141,16
28,5,0.9513243180717084,16.05000000,7.88605475,18
28,6,0.9535430276604381,18.90000000,9.70877981,22
28,7,0.9516910728782892,15.90000000,6.12859201,14
28,8,0.9569172118509897,16.80000000,9.73775530,22
28,9,0.9553830245198576,17.40000000,9.34167790,21
28,10,0.957176868996659,15.90000000,6.56263757,15
28,11,0.9566081011373365,17.55000000,7.84882808,18
28,12,0.9578968798467228,18.30000000,8.40451956,19
28,13,0.9555098098316549,16.20000000,7.01472712,16
28,14,0.9592150673816079,18.00000000,10.05076408,23
28,15,0.9523850574989112,15.90000000,10.12261820,23
28,16,0.9534019968775662,16.05000000,8.35092354,19
28,17,0.950255871485117,18.90000000,8.74711514,20
28,18,0.9562596410477022,16.05000000,6.53974152,15
28,19,0.9506471435673339,16.05000000,8.78126359,20
32,0,0.9502760922954885,19.35000000,12.24897480,24
32,1,0.9573799091938454,20.10000000,12.33172894,24
32,2,0.9487058750036942,19.05000000,12.24215531,24
32,3,0.9590800194183262,18.15000000,7.64901733,15
32,4,0.9534618046589078,20.55000000,12.20485806,24
32,5,0.9600588964592688,21.60000000,11.81287217,23
32,6,0.9547900944170977,20.25000000,10.26900339,20
32,7,0.9594211058458609,18.15000000,8.73731971,17
32,8,0.9624837810663038,20.10000000,10.72673965,21
32,9,0.9601169952948002,18.00000000,10.71460867,21
32,10,0.9517400824021103,21.30000000,13.84266973,27
32,11,0.9546266557550592,19.05000000,10.21020126,20
32,12,0.9569596725915469,19.05000000,8.72952509,17
32,13,0.9503745293677366,18.00000000,11.20505548,22
32,14,0.9526938572547247,18.15000000,8.61096954,17
32,15,0.9522501913892001,21.75000000,12.72662544,25
32,16,0.9545719307808391,21.00000000,10.71986103,21
32,17,0.9596795807626698,21.15000000,11.90700364,23
32,18,0.9529325732983855,18.15000000,10.67759967,21
32,19,0.9590409311059279,18.30000000,10.22553349,20
36,0,0.9531911800965843,21.15000000,11.98058295,22
36,1,0.9504806951101734,21.15000000,10.88260889,20
36,2,0.9518136402845515,20.10000000,12.62476158,23
