n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9534500451885936,5.10000000,2.11439443,5
8,1,0.9685095957200625,5.40000000,2.15266943,8
8,2,0.9574930971515564,4.95000000,1.90336823,7
8,3,0.9652753616080694,5.10000000,1.34374738,5
8,4,0.9386411079304621,5.40000000,2.70990825,10
8,5,0.9541987758677654,5.40000000,1.62044024,6
8,6,0.9552183104765292,5.10000000,1.35602975,5
8,7,0.9528565265211725,5.10000000,1.89275503,7
8,8,0.9681176555865756,5.40000000,2.17440510,8
8,9,0.9553005002182158,4.95000000,2.15931773,8
8,10,0.9589516725616688,5.10000000,2.45871520,9
8,11,0.9650445900079483,4.95000000,2.44243217,9
8,12,0.9682172743374289,5.10000000,1.08109045,4
8,13,0.9728699588074886,5.10000000,2.43564534,9
8,14,0.9644059318221692,4.95000000,2.16457915,8
8,15,0.9555325909338146,5.10000000,1.08060026,4
8,16,0.9722779607452965,5.10000000,1.90515423,7
8,17,0.9552327818895453,5.10000000,2.71321559,10
8,18,0.9502713902099599,5.40000000,1.90871763,7
8,19,0.9834437591046539,5.40000000,1.88562608,7
12,0,0.9549337182165842,8.25000000,3.65225410,12
12,1,0.9559119826696345,8.40000000,5.28541923,17
12,2,0.9510784834432046,8.10000000,6.46579766,21
12,3,0.938554252031101,7.20000000,4.92679596,16
12,4,0.9543173880501623,8.70000000,3.65750408,12
12,5,0.9558567322802578,7.80000000,5.27165556,17
12,6,0.9515554293111682,8.55000000,3.99061108,13
12,7,0.9574787697790305,8.85000000,6.85693693,22
12,8,0.952234637146649,7.35000000,3.98509741,13
12,9,0.9515657827516717,8.70000000,5.86962962,19
12,10,0.9502041238469198,8.55000000,6.17871737,20
12,11,0.9519962742534447,8.70000000,5.58600092,18
12,12,0.9520981069640081,8.70000000,6.24056149,20
12,13,0.9545436160115708,7.95000000,3.96923327,13
12,14,0.9500477849091458,8.55000000,5.85330009,19
12,15,0.952734848391534,8.25000000,4.90673900,16
12,16,0.9568435188749713,8.25000000,6.15454841,20
12,17,0.9510635250388556,8.25000000,4.88591909,16
12,18,0.9511871896706567,7.95000000,4.02185440,13
12,19,0.9584326699451637,7.35000000,4.95252800,16
16,0,0.9347575570740952,11.85000000,37.02030969,100
16,1,0.9313744700687315,11.85000000,56.50907755,127
16,2,0.9248161638569842,11.70000000,45.52471375,107
16,3,0.9303335719218742,11.85000000,36.11871600,96
16,4,0.9305335212273345,11.70000000,50.60374236,131
16,5,0.9390139060291061,11.70000000,68.75914979,111
16,6,0.9393607732870326,11.85000000,43.08081913,109
16,7,0.940540967181187,11.70000000,47.69533134,106
16,8,0.9338328089102171,11.25000000,38.01346564,97
16,9,0.9356643441357319,11.70000000,40.93258739,109
16,10,0.9313168300034496,11.85000000,42.17769170,111
16,11,0.9341115738006142,11.85000000,48.67134428,113
16,12,0.9271419499926173,11.55000000,45.00517964,108
16,13,0.9383834253159711,11.85000000,47.84406495,115
16,14,0.9396640855055087,11.85000000,53.80589962,114
16,15,0.9372444754369545,11.85000000,43.06313372,105
