n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9568700023463583,5.85000000,8.54367328,26
8,1,0.9507167806409915,5.85000000,7.92140937,27
8,2,0.9519946663342698,4.95000000,1.93010592,7
8,3,0.9559417670442927,5.10000000,1.38870358,5
8,4,0.9501188752403483,5.85000000,5.36305785,19
8,5,0.9263587316469413,5.70000000,23.80155635,58
8,6,0.9505608764586255,5.85000000,8.44031358,29
8,7,0.9219388920695906,5.85000000,27.39194584,67
8,8,0.9517482117876027,4.95000000,1.65643191,6
8,9,0.9502150347809636,5.85000000,8.37624335,28
8,10,0.9554560885570105,5.10000000,1.40107155,5
8,11,0.9572475315331599,5.85000000,6.56944561,23
8,12,0.955914153475986,5.85000000,6.75273323,23
8,13,0.9568857970890589,5.85000000,7.45163321,26
8,14,0.9643664073153776,5.40000000,2.21873856,8
8,15,0.9558562484556823,5.85000000,6.23178220,22
8,16,0.950036836712439,5.85000000,7.17086077,25
8,17,0.9831313014627225,5.10000000,1.38404107,5
8,18,0.9518791923087362,5.85000000,5.96569610,21
8,19,0.9549257018028916,5.25000000,1.10638332,4
12,0,0.9282246562951503,8.85000000,43.13440299,89
12,1,0.9540954310804778,8.25000000,7.87169051,25
12,2,0.9586782809186983,8.85000000,6.21318650,20
12,3,0.9521187399856712,8.85000000,11.54234958,36
12,4,0.9822709014342286,8.85000000,8.22873998,26
12,5,0.9544250372383308,8.70000000,6.84057307,22
12,6,0.9623840402588817,8.85000000,13.38327789,41
12,7,0.980902853898098,8.85000000,6.22433877,20
12,8,0.9716506930471008,8.40000000,7.18789315,23
12,9,0.9308958648506207,8.70000000,32.61574316,84
12,10,0.9592138911839675,8.55000000,8.01699996,25
12,11,0.9565922156681231,8.55000000,4.63740301,15
12,12,0.9511621688727675,8.85000000,15.81673169,45
12,13,0.9707674128168116,8.85000000,10.61973596,34
12,14,0.9590831847668605,8.85000000,8.89667034,28
12,15,0.9530769412610822,8.40000000,8.12170982,26
12,16,0.9534830504564772,8.85000000,13.32843685,41
12,17,0.9535579407657437,7.20000000,1.82834315,6
12,18,0.96404459210131,8.40000000,8.55838871,27
12,19,0.9473480876468792,8.85000000,34.18675184,85
16,0,0.9109249637190578,10.80000000,7.20414734,21
16,1,0.9577633901708796,10.95000000,6.14803743,18
16,2,0.9642409236554477,11.70000000,14.32006288,42
16,3,0.9643855478627147,11.55000000,7.53989768,22
16,4,0.8272981268072023,9.30000000,3.36167884,10
16,5,0.9635398085690743,11.25000000,5.03630352,15
16,6,0.9826656586601139,11.85000000,6.08794904,18
16,7,0.9592880995566729,11.25000000,5.37887192,16
16,8,0.957337846054517,11.55000000,7.51634383,22
16,9,0.9637127476469349,11.70000000,9.83422899,29
16,10,0.9138299622460441,11.40000000,10.32586694,30
16,11,0.9781955239783361,11.25000000,7.47671342,22
16,12,0.9691704696159398,11.55000000,9.06496215,27
16,13,0.9693731771280002,11.40000000,5.38167644,16
16,14,0.9327365769471724,11.70000000,53.63487124,112
16,15,0.9663007520579512,11.10000000,4.38448191,13
16,16,0.9560489212821484,11.25000000,10.84493065,32
16,17,0.973759566560956,11.55000000,10.36046696,30
16,18,0.973913141258751,11.25000000,7.72484374,23
16,19,0.9636396702014128,11.55000000,7.15080953,21
20,0,0.9530299665736336,14.55000000,13.47075772,36
20,1,0.9633801487818878,14.10000000,7.75409174,21
