n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.990061128807342,5.25000000,21.76824141,11
8,1,0.9924714212998255,5.55000000,9.05467653,11
8,2,0.9933956821635921,5.10000000,6.91146588,9
8,3,0.9915127096818607,5.10000000,6.89501262,9
8,4,0.9901980016610739,5.10000000,7.64449716,10
8,5,0.9901759688310389,5.10000000,7.73702979,10
8,6,0.9920559811013462,5.10000000,6.91337276,9
8,7,0.9932088493242766,5.25000000,9.22696686,12
8,8,0.9909599545564147,5.25000000,7.74644685,10
8,9,0.9900852512258415,5.10000000,8.44033074,11
8,10,0.9913310406671061,5.25000000,6.86333466,9
8,11,0.9955111641034338,5.25000000,7.75047874,10
8,12,0.9903836636757957,5.25000000,8.45397091,11
8,13,0.9916337657796168,5.40000000,9.31787300,12
8,14,0.9950962481720682,5.10000000,10.06766558,13
8,15,0.9905008105272777,5.25000000,9.30151439,12
8,16,0.9912357872092576,5.25000000,7.73869491,10
8,17,0.9924969827440653,5.10000000,7.02882242,9
8,18,0.9925660655091277,5.10000000,6.92098451,9
8,19,0.9949790634239821,5.25000000,8.40068650,11
12,0,0.9924058076233,7.50000000,10.55142498,13
12,1,0.9916042863239558,7.35000000,13.02752018,16
12,2,0.9924429418628701,7.35000000,12.14312053,15
12,3,0.9903872449955943,7.35000000,13.88834167,17
12,4,0.9917457514336122,7.50000000,13.06979322,16
12,5,0.9902280817439797,7.35000000,11.29363704,14
12,6,0.9904839850612941,7.35000000,14.74126196,18
12,7,0.9911692899993461,7.65000000,15.43973970,19
12,8,0.990426583569571,7.35000000,13.79278469,17
12,9,0.9901639087692545,7.35000000,10.52762914,13
12,10,0.9902801706522966,7.50000000,12.14581060,15
12,11,0.990049117428356,7.35000000,10.64139366,13
12,12,0.9938782393813573,7.35000000,12.94695473,16
12,13,0.99027159319147,7.35000000,13.11795282,16
12,14,0.9918439092378364,7.80000000,12.21448207,15
12,15,0.9913594575039546,7.80000000,14.68646789,18
12,16,0.9906870980492464,7.35000000,13.85592151,17
12,17,0.967846648085371,8.40000000,11.26117635,14
12,18,0.9903548041757259,7.35000000,13.10654855,16
12,19,0.9911675054087977,7.35000000,13.02388835,16
16,0,0.9901761384308587,10.05000000,15.43771696,18
16,1,0.9907845911703599,10.50000000,19.55349112,23
16,2,0.9901475717817746,9.60000000,20.58115602,24
16,3,0.9909451578292703,9.60000000,18.05855322,21
16,4,0.9907696145288929,11.70000000,17.09846163,20
16,5,0.9935379671356046,10.50000000,20.02108145,23
16,6,0.9733320914869938,9.45000000,14.51857090,17
16,7,0.9918654380525566,9.90000000,22.41455030,26
16,8,0.9905416352200498,11.10000000,19.50249195,23
16,9,0.9901014456348745,10.80000000,17.82822967,21
16,10,0.9922808143609946,9.90000000,17.75194407,21
16,11,0.9902438325489313,10.65000000,19.81694794,23
16,12,0.9904019130103726,10.50000000,18.61966491,22
16,13,0.9913635335241503,11.55000000,19.70383167,23
16,14,0.9902526466686552,10.65000000,18.74548340,22
16,15,0.9921926092757891,9.60000000,18.12494564,21
16,16,0.990527419897985,10.50000000,21.31386280,25
16,17,0.9814727597688887,9.90000000,20.26605773,24
16,18,0.991372726631173,9.60000000,17.73051333,21
16,19,0.9917462786008718,9.60000000,14.36713219,17
20,0,0.9901086881520699,14.25000000,28.26127267,31
20,1,0.9910241357701595,14.40000000,29.93720913,33
20,2,0.9737225889843991,13.20000000,19.85799670,22
20,3,0.9901471062782515,13.05000000,26.30475664,29
20,4,0.9912980934434554,11.85000000,27.92157722,31
20,5,0.9925199841024732,11.70000000,25.42404032,28
20,6,0.9902242049640102,12.00000000,27.25657392,30
20,7,0.9909684769631836,13.50000000,24.64267230,27
20,8,0.9910045186821491,14.55000000,30.03839803,33
20,9,0.9904665271252573,11.85000000,24.40730286,27
20,10,0.9907470279469915,12.45000000,25.80999875,28
20,11,0.9904814236900645,13.65000000,24.51491666,27
20,12,0.9906270765210772,13.05000000,23.55583858,26
20,13,0.9902611135540119,11.70000000,20.68877602,23
20,14,0.9843651769957783,11.70000000,24.47890377,27
20,15,0.9908656312253532,11.70000000,26.29047370,29
20,16,0.9903635488963116,12.45000000,26.17743969,29
20,17,0.9901969514962872,11.85000000,26.11115313,29
20,18,0.9902895815775389,12.00000000,27.17979431,30
20,19,0.9902943535975199,11.70000000,24.55962753,27
24,0,0.9902822984254795,17.70000000,37.95237517,39
24,1,0.9915330486498666,15.00000000,36.00282168,37
24,2,0.9910891239929944,14.85000000,34.66006494,36
24,3,0.9902598933456583,17.55000000,32.81486416,34
24,4,0.9917757857251546,13.95000000,31.09068918,32
24,5,0.9911119844484367,13.95000000,26.84549737,28
24,6,0.9914653647981184,16.35000000,32.69817042,34
24,7,0.9903897410898066,17.10000000,34.81462145,36
24,8,0.9907858545584094,16.20000000,31.55844307,33
24,9,0.9921325566830357,17.55000000,32.81665897,34
24,10,0.9905058764519137,16.20000000,41.76888156,43
24,11,0.9907506374669701,13.95000000,29.83997154,31
24,12,0.9901000672716147,14.25000000,32.55810809,34
24,13,0.9900412620847036,16.50000000,37.78687716,39
24,14,0.9942918312281708,16.35000000,31.88944125,33
24,15,0.9911347076597128,16.20000000,45.64099932,47
24,16,0.9900477548039466,14.10000000,31.97860384,33
24,17,0.9901343846309283,14.25000000,27.77730989,29
24,18,0.9903237368130362,14.10000000,31.73579383,33
24,19,0.990093635762848,16.95000000,28.04459977,29
28,0,0.9920542825586047,16.05000000,40.19375968,39
28,1,0.9902761835261087,20.10000000,49.00217605,47
28,2,0.991904608602074,18.75000000,35.87887406,35
28,3,0.9911673244310739,20.70000000,43.06618571,42
28,4,0.9901410478486575,18.45000000,30.59827614,30
28,5,0.9845515058624306,19.95000000,41.31084013,40
28,6,0.990600862616883,16.65000000,31.83926797,31
28,7,0.9901015365857476,18.45000000,41.83995843,40
28,8,0.9917973304786991,19.05000000,38.14615989,37
28,9,0.9905177668368486,19.35000000,36.86670041,36
28,10,0.9904780022011211,18.75000000,40.23697948,39
28,11,0.9901054651705254,16.50000000,34.81827879,34
28,12,0.9914694152315555,18.75000000,36.95003867,36
28,13,0.9876471565537257,20.70000000,180.37007380,144
28,14,0.9909700312220877,17.85000000,38.30172396,37
28,15,0.9806711255496909,16.20000000,36.21672916,35
28,16,0.9909343376457187,20.25000000,40.17346168,39
28,17,0.9903466054084077,19.20000000,49.18614054,48
28,18,0.9914646773787247,19.35000000,44.01714969,43
28,19,0.9910039742123435,18.00000000,43.26547241,42
32,0,0.9909840948212169,23.55000000,51.25990868,45
32,1,0.9900134062022443,20.85000000,51.96239519,46
32,2,0.9900744063186628,21.15000000,35.83989596,32
32,3,0.9900058000890583,23.85000000,84.50621629,75
32,4,0.9907235110226529,20.55000000,41.61321497,37
32,5,0.9902343185521916,21.75000000,54.32115006,48
32,6,0.9900402548267166,21.90000000,54.20184112,48
32,7,0.9905834321431157,18.90000000,46.52959299,41
32,8,0.9902844800773971,23.25000000,50.22004867,44
32,9,0.9904979618879457,22.95000000,51.18189573,45
32,10,0.9900499382716675,22.50000000,45.89943314,41
32,11,0.9908279188248945,21.60000000,44.13138032,39
32,12,0.9912765079321925,21.75000000,48.55615258,43
32,13,0.9904932829223367,23.85000000,60.55993748,54
32,14,0.9907751753471514,22.35000000,58.43343925,52
32,15,0.9902351574200174,23.10000000,53.00652385,47
32,16,0.990529123733934,20.10000000,40.38706040,36
32,17,0.988997093824245,22.95000000,181.28559017,145
32,18,0.9904993039202967,21.90000000,50.25340748,45
32,19,0.9841684389042606,20.40000000,45.78393126,41
36,0,0.9901665911429834,22.50000000,57.15908957,48
36,1,0.9832289563904583,23.40000000,209.65037513,150
36,2,0.9903641638302036,25.20000000,52.09773946,44
36,3,0.9901129648771443,24.75000000,54.50605774,46
36,4,0.9904465504753167,24.75000000,61.98937583,52
36,5,0.9908287493492529,23.70000000,53.14577937,45
36,6,0.9900281564324431,26.85000000,64.61432314,54
36,7,0.9900742432113694,22.95000000,54.99600387,46
36,8,0.9809318712793238,25.65000000,85.85282469,72
36,9,0.9913059962392056,23.55000000,52.32580686,44
36,10,0.9904356518370394,23.10000000,59.68882942,50
36,11,0.99152546137569,21.90000000,46.30670118,39
36,12,0.9901642849695399,21.15000000,60.62739825,51
36,13,0.9902807338179391,25.80000000,87.56502461,73
36,14,0.9903961391443238,24.00000000,60.13971925,51
36,15,0.9902505159121489,23.25000000,61.55721664,52
36,16,0.9900002850830695,26.55000000,153.84891248,126
36,17,0.9903122181931492,26.25000000,64.07170391,54
36,18,0.990192303082172,23.70000000,49.54512048,42
36,19,0.9900751309337528,23.10000000,63.06131124,53
40,0,0.9900785822286909,28.80000000,85.67429543,66
40,1,0.9902428448640076,24.90000000,70.07390070,55
40,2,0.988647513749997,29.85000000,231.65543318,163
40,3,0.9904447899133775,28.80000000,76.69887471,61
40,4,0.9901757632978438,29.55000000,106.67950034,81
40,5,0.9900428583370238,27.30000000,70.83876848,56
40,6,0.9900704083068755,27.75000000,79.22563100,63
40,7,0.990092117222952,26.10000000,76.03820920,60
40,8,0.9910148168227354,27.15000000,70.89617109,56
40,9,0.9914098665045835,27.45000000,68.05170178,54
40,10,0.9816387519284746,26.55000000,213.04124236,160
40,11,0.9902529149330033,29.70000000,79.00606561,62
40,12,0.9866003357158486,27.45000000,292.02219224,196
40,13,0.9874080956828775,29.70000000,257.20818281,192
40,14,0.9903661424332797,25.35000000,52.77695751,42
40,15,0.9900881283899472,28.65000000,82.76667213,65
40,16,0.9907724682003853,28.80000000,68.75230670,55
40,17,0.9880873583399479,28.20000000,259.66794086,182
40,18,0.9907501631469228,29.55000000,95.49577999,75
40,19,0.9900478425503397,27.15000000,71.71843457,57
44,0,0.9882699796667646,30.90000000,235.30229378,166
44,1,0.9909542387307143,32.70000000,120.65093756,89
44,2,0.990156233333028,32.70000000,95.48897672,71
44,3,0.9873548112089543,32.85000000,254.43121457,172
44,4,0.9811939227427395,32.10000000,267.82724094,186
44,5,0.9851990619084968,31.95000000,244.07146549,174
44,6,0.9900780951741485,28.35000000,130.39153123,96
44,7,0.9778781842769153,31.50000000,250.05000234,180
44,8,0.9901450540937332,32.85000000,120.56001306,87
44,9,0.982751939591044,31.65000000,297.35121274,202
44,10,0.9798511434605013,30.75000000,303.63184571,197
44,11,0.9867956423809936,31.65000000,296.17153549,179
44,12,0.9901153677245218,31.95000000,99.22984433,66
44,13,0.9789166785576648,28.95000000,282.95365047,169
44,14,0.9902030493743947,31.50000000,125.32349849,85
44,15,0.990049221539166,30.15000000,93.28110695,63
44,16,0.9901415457572389,30.90000000,110.13806629,74
44,17,0.9905268193681144,30.15000000,105.22426319,71
44,18,0.9900050096565739,32.25000000,130.97186494,87
44,19,0.9867009242383303,30.15000000,290.01594806,178
48,0,0.9886000339358798,31.65000000,325.12894607,191
48,1,0.9863473932227079,31.80000000,296.46858644,187
48,2,0.9900279813829973,33.90000000,99.06887364,63
48,3,0.9849542697730602,31.50000000,333.29604149,196
48,4,0.990065843522742,32.70000000,99.32668781,64
48,5,0.9903108128676936,32.70000000,102.85258937,66
48,6,0.9874667636197321,33.45000000,298.46454787,175
48,7,0.9903298557369867,31.80000000,102.62285328,65
48,8,0.9850395819467492,32.10000000,340.38936591,199
48,9,0.9808614431298992,35.55000000,289.00922060,177
48,10,0.9900042118117807,31.35000000,122.76962447,79
48,11,0.9901557930692287,31.95000000,86.68291974,56
48,12,0.9874058729317204,28.20000000,270.76462388,167
48,13,0.9900635354644012,33.60000000,135.39790225,85
48,14,0.990690499504532,34.05000000,100.16002226,65
48,15,0.9903022875459444,33.90000000,99.17016363,63
48,16,0.9900734100922399,32.10000000,110.64889002,70
48,17,0.9900875493429061,34.35000000,128.61183667,82
48,18,0.9888114018030678,28.20000000,320.49914861,198
48,19,0.99008809027584,35.70000000,109.25130582,70
52,0,0.9856490300896174,34.05000000,319.38899136,187
52,1,0.9900894449461424,31.95000000,109.37537646,67
52,2,0.9903987253924558,38.25000000,123.45255089,75
52,3,0.991043087956657,37.20000000,99.99529862,61
