n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9546424829565047,5.55000000,3.31690955,7
8,1,0.9514969435251636,5.55000000,1.35389972,5
8,2,0.8160998563232013,5.25000000,1.62026572,6
8,3,0.9501483258180611,5.40000000,1.35096550,5
8,4,0.7489805594235821,4.95000000,1.91857910,7
8,5,0.9764688056318713,5.10000000,2.20573258,8
8,6,0.951261640898892,5.25000000,1.37683535,5
8,7,0.955148874323773,5.10000000,1.69520712,6
8,8,0.9617913255331997,5.25000000,1.35732460,5
8,9,0.9668650785191838,5.10000000,1.89399958,7
8,10,0.9766157884127511,5.10000000,1.62082028,6
8,11,0.7016288540926714,4.95000000,1.62565112,6
8,12,0.9543673352629531,5.25000000,1.62592673,6
8,13,0.9770621264117894,5.10000000,1.36860442,5
8,14,0.9604012533261104,5.25000000,2.17904544,8
8,15,0.9640343004673866,5.10000000,1.63164806,6
8,16,0.9634470812606788,5.10000000,1.89714694,7
8,17,0.961858981574522,5.10000000,2.16833305,8
8,18,0.9512104621652622,5.10000000,2.17536354,8
8,19,0.9715974505424007,5.40000000,1.62233615,6
12,0,0.9517050920522712,7.50000000,3.70100212,12
12,1,0.9500757538679813,7.20000000,4.01276827,13
12,2,0.9532652490463085,7.35000000,3.36008358,11
12,3,0.9541475993768823,8.85000000,2.46060610,8
12,4,0.9512587660779548,7.35000000,3.69220638,12
12,5,0.9509427569949932,7.20000000,3.36612463,11
12,6,0.9516985912266501,7.35000000,3.40286899,11
12,7,0.9618016277474624,7.65000000,2.77240968,9
12,8,0.951196340481812,7.35000000,3.77878642,12
12,9,0.9518201994276009,7.65000000,3.67760992,12
12,10,0.9536152127084542,7.80000000,4.62742162,15
12,11,0.9503607706783845,7.35000000,2.74775791,9
12,12,0.9541047353878677,8.55000000,2.75032043,9
12,13,0.9512029960392121,7.35000000,2.76094961,9
12,14,0.9563391899033171,8.70000000,4.00618243,13
12,15,0.9538827353730647,8.85000000,3.72953391,12
12,16,0.9549417870063558,7.35000000,3.36852098,11
12,17,0.9511700237075511,8.85000000,2.75388908,9
12,18,0.9520563524332213,7.20000000,3.05805373,10
12,19,0.9547525219158413,8.40000000,2.76987433,9
16,0,0.9331840650468444,11.85000000,47.31186509,119
16,1,0.9358189717301585,11.85000000,39.92331433,108
16,2,0.9321334836067433,11.85000000,42.48114610,92
16,3,0.9303320824376657,11.85000000,39.12875366,106
16,4,0.9375493520936925,11.85000000,53.18247962,117
16,5,0.9370730075474691,11.85000000,55.45565820,128
16,6,0.930904335859405,11.70000000,58.29741907,113
16,7,0.931384674023146,11.70000000,54.81688762,119
16,8,0.9394707178706527,11.70000000,43.12717223,106
16,9,0.9339712139487341,11.70000000,26.33592200,74
16,10,0.9328505034984222,11.85000000,46.78148842,117
16,11,0.9343699563379981,11.85000000,45.63843012,114
16,12,0.9376267594373044,11.85000000,51.49691415,112
16,13,0.936329850409647,11.40000000,30.23400664,86
16,14,0.934662005520621,11.85000000,41.27495861,104
16,15,0.9392997516913808,11.55000000,53.55647278,139
16,16,0.9342071742791971,11.85000000,37.72316575,102
16,17,0.9331379305812098,11.85000000,55.00898218,132
16,18,0.9321651230120973,11.55000000,43.15370822,103
16,19,0.9334882355367133,11.85000000,39.56907177,104
20,0,0.9070225952885671,14.70000000,68.31677437,130
20,1,0.9124107664819536,14.85000000,51.30663967,109
20,2,0.912274863473223,14.85000000,44.13705373,104
20,3,0.9089928785629239,14.70000000,49.31809998,107
20,4,0.9028932925682858,14.40000000,44.93311691,114
20,5,0.9145342227728045,14.70000000,52.41207337,102
20,6,0.9088204448485832,14.85000000,54.89966369,110
20,7,0.909696456380763,14.70000000,54.71970105,118
20,8,0.9155900452201303,14.70000000,57.02950597,119
20,9,0.9068880879438772,14.55000000,45.82186127,108
20,10,0.916452237459189,14.55000000,53.59006000,117
20,11,0.9033064902213239,14.85000000,50.22310162,108
20,12,0.9096090454569704,14.85000000,51.86974406,114
20,13,0.9103020601239431,14.85000000,43.79073596,107
20,14,0.9049151672830413,14.85000000,39.85764933,100
20,15,0.9162180312635144,14.85000000,64.70812941,137
20,16,0.9041364314717105,14.85000000,50.72719574,114
20,17,0.9041133800036242,14.70000000,57.05267000,115
20,18,0.9118066016963824,14.55000000,43.67880368,105
20,19,0.9150603080397962,14.85000000,54.32414150,110
24,0,0.9011366594524368,17.85000000,60.23262882,130
24,1,0.9017306518645698,17.25000000,59.58782268,117
24,2,0.8909418566354179,17.70000000,55.43801880,120
24,3,0.8893682440283596,16.80000000,63.55271840,129
24,4,0.9270406172031231,17.10000000,58.58841944,124
24,5,0.8955537177465802,17.85000000,72.84597731,138
24,6,0.9036973588361986,17.70000000,55.55662537,112
24,7,0.9361488573410807,17.70000000,80.27371073,150
24,8,0.8920529876921824,17.85000000,58.50410509,128
24,9,0.8989186321450142,17.85000000,60.84804058,128
24,10,0.9086210711082205,17.25000000,66.53877211,138
24,11,0.8989363916173418,17.85000000,59.81195235,125
24,12,0.8927587196522109,17.85000000,56.63795400,110
24,13,0.8894140305220595,17.70000000,62.57929778,125
24,14,0.8973550354675086,17.85000000,66.96667910,138
24,15,0.9024317837797339,16.35000000,64.09017086,122
24,16,0.9207073141999542,16.95000000,58.13428426,118
24,17,0.902966856580938,17.10000000,64.05374980,130
24,18,0.891319149659659,16.35000000,63.99902391,129
24,19,0.8976123261099923,17.25000000,57.32483387,129
28,0,0.9218803808802614,19.95000000,73.91987228,149
28,1,0.9438386421856674,20.40000000,67.95556808,128
28,2,0.9379052482045109,20.70000000,74.41979003,139
28,3,0.909289052675406,20.55000000,64.92028594,126
28,4,0.9283386836628228,20.85000000,74.01566672,139
28,5,0.9256972703549851,20.85000000,79.51169777,156
28,6,0.9360690072069819,20.85000000,59.81743836,125
28,7,0.923194074480463,20.85000000,67.82558393,129
28,8,0.9263647513419364,20.70000000,75.09698844,139
28,9,0.882583903514905,20.85000000,71.79628563,116
28,10,0.9367671675020627,20.85000000,67.86469960,134
28,11,0.89876539245926,20.85000000,78.00231671,130
28,12,0.9361212720004227,19.95000000,67.96092939,137
28,13,0.9089520517079124,20.70000000,70.04159951,132
28,14,0.9243566687678892,20.85000000,66.66317129,134
28,15,0.9173846691489004,20.70000000,62.86067152,129
28,16,0.9149966326196899,20.85000000,67.95938420,126
28,17,0.9129607329817888,20.70000000,62.06859994,124
28,18,0.9083793003669955,20.70000000,78.22168446,145
28,19,0.9126866553631641,20.70000000,72.60655832,139
32,0,0.9034148646567758,23.55000000,76.90712452,144
32,1,0.909684867332851,22.80000000,84.52142477,132
32,2,0.91888667168942,23.25000000,71.86727619,130
32,3,0.8927569652525237,23.70000000,84.05058122,157
32,4,0.9263435790599936,23.70000000,72.00026917,139
32,5,0.9213446868910998,23.85000000,93.76468897,156
32,6,0.9318889334310335,23.55000000,91.48469019,161
32,7,0.926166499111678,23.55000000,74.16484046,135
32,8,0.9120494008969338,23.85000000,89.30972648,162
32,9,0.9143771964918347,23.85000000,84.10557103,150
32,10,0.9279639986808998,22.20000000,73.44278407,131
32,11,0.9215469338530207,23.70000000,78.94003773,143
32,12,0.897938149821344,23.85000000,82.83511853,149
32,13,0.9175438322284961,23.70000000,82.23545980,146
32,14,0.8937483576117765,23.85000000,78.78061628,144
32,15,0.9223397169250509,23.70000000,80.39074063,146
32,16,0.9146548548579205,23.85000000,76.81616807,139
32,17,0.9113640668189624,23.25000000,72.58266449,137
32,18,0.9049481980909507,22.95000000,72.15602279,133
32,19,0.928515051349437,23.10000000,82.03093147,149
36,0,0.8929737963239266,26.85000000,103.27595854,172
36,1,0.893476106352589,26.25000000,97.55340552,141
36,2,0.9176702218646962,26.70000000,87.94835663,148
36,3,0.9256473148438924,26.25000000,103.63395262,172
36,4,0.9028285109498314,26.40000000,102.13953757,172
36,5,0.904798916212684,26.85000000,96.48933434,154
36,6,0.9251161771130206,26.55000000,96.78303504,153
36,7,0.8972460999748746,26.85000000,86.02603912,151
36,8,0.8942088625536105,26.70000000,92.98961782,151
36,9,0.8897746305342171,26.85000000,81.33763313,146
36,10,0.9115691707467,25.65000000,96.14782906,152
36,11,0.9176643576575136,26.85000000,81.64872575,138
36,12,0.9180026583142638,26.85000000,81.40537190,143
36,13,0.9134424035499759,26.55000000,81.71982527,140
36,14,0.8760314142267356,26.85000000,89.91898131,150
36,15,0.8833021321223907,26.85000000,84.40346193,136
36,16,0.8976224117967881,26.70000000,88.74296975,142
36,17,0.9121226198831259,26.55000000,91.03924298,153
36,18,0.9100895080695437,26.55000000,90.74756551,160
36,19,0.9312699887742851,24.75000000,87.44862819,140
40,0,0.8869709334702766,28.35000000,109.98132443,166
40,1,0.9125004853449351,28.65000000,141.23865843,174
40,2,0.898071999965326,29.55000000,95.59778452,161
