n,sample_index,max_fidelity,ttime,cpu_time,generations
8,0,0.9952029852043557,5.55000000,39.04811621,13
8,1,0.9950664095007374,5.10000000,31.63346434,13
8,2,0.995832403119061,5.25000000,31.64141297,13
8,3,0.9952672145840559,5.40000000,40.26031184,16
8,4,0.996007298705079,5.10000000,34.04234743,14
8,5,0.9957041116049302,5.55000000,39.30965924,16
8,6,0.9954094778275673,5.70000000,36.72201896,15
8,7,0.9950398619780134,5.10000000,31.61219239,13
8,8,0.9954919951493464,5.25000000,31.74785256,13
8,9,0.9852200936871361,5.25000000,34.30542064,14
8,10,0.9950281224536456,5.85000000,26.82596183,11
8,11,0.9958460404813331,5.10000000,34.03826857,14
8,12,0.9853936776667532,5.70000000,33.39776206,14
8,13,0.995227778768749,5.10000000,38.52017450,16
8,14,0.9950904473140236,5.55000000,36.72976828,15
8,15,0.9958142289190437,5.10000000,29.31584334,12
8,16,0.9951446378543578,5.25000000,31.60210657,13
8,17,0.9958955961680819,5.25000000,29.01015377,12
8,18,0.9951474712367979,5.10000000,34.08453512,14
8,19,0.9963381218468903,5.40000000,32.07287574,13
16,0,0.9951628488385719,11.10000000,107.47720838,42
16,1,0.9961741595941991,11.25000000,81.64417982,32
16,2,0.995014644649796,11.25000000,78.66825604,31
16,3,0.9955143354193949,11.10000000,78.31987739,30
16,4,0.9951057230752192,10.80000000,75.82589912,30
16,5,0.9952075915870094,10.50000000,105.84509087,41
16,6,0.9960034901459975,10.50000000,112.18046165,44
16,7,0.9951206595801261,11.70000000,89.36215043,35
16,8,0.9952130207741152,11.10000000,135.55160475,52
16,9,0.9950618969416234,10.65000000,84.39652681,33
16,10,0.9953089936945754,10.80000000,114.61061907,45
16,11,0.9951835839240915,10.80000000,89.56420875,35
16,12,0.9951429811217232,10.80000000,73.49968457,29
16,13,0.9950369965339971,10.80000000,76.17908597,30
16,14,0.9955376314960815,10.05000000,76.81720948,30
16,15,0.9950055832826261,10.80000000,76.73416352,30
16,16,0.9954872097647346,11.25000000,95.94502354,37
16,17,0.9956066610947418,10.20000000,82.01659870,32
16,18,0.9953353178662391,11.55000000,91.84140706,36
16,19,0.9950560583823256,10.95000000,98.03263807,37
24,0,0.9951739763140772,17.85000000,135.95306754,49
24,1,0.9954768467158867,16.50000000,131.65006447,47
24,2,0.9950305233851308,16.65000000,224.79174685,80
24,3,0.9950113235720123,15.30000000,196.30488062,68
24,4,0.9951151798428399,16.95000000,130.68761826,47
24,5,0.9948584329849499,17.70000000,746.73589325,201
24,6,0.9950592215979519,15.30000000,151.09666419,54
24,7,0.9896640613813645,14.55000000,117.23478270,42
24,8,0.9954402234885229,13.95000000,126.87112546,46
24,9,0.9950842301171227,17.70000000,140.85416174,50
24,10,0.9953184036844205,13.95000000,193.45156932,69
24,11,0.9952109504765416,17.55000000,125.71161532,45
24,12,0.9950883193402793,14.85000000,115.64279747,42
24,13,0.9895493807335924,15.00000000,143.38947582,52
24,14,0.9917519873434163,17.70000000,127.45109248,46
24,15,0.9957082226173608,16.65000000,119.80481458,43
24,16,0.9953932069864728,14.40000000,110.59406090,40
24,17,0.9955019860850141,17.85000000,146.16876960,53
24,18,0.9950340142576162,16.95000000,173.80984712,63
24,19,0.9950263345138327,13.95000000,124.09625983,45
32,0,0.9950614541550334,22.50000000,182.46253443,59
32,1,0.9951594072609895,23.25000000,216.03615999,70
32,2,0.9927197963117308,21.00000000,165.63165140,54
32,3,0.9951821495416111,22.80000000,193.85214663,63
32,4,0.9926945001190509,22.80000000,1175.14157510,208
32,5,0.9931377924534964,18.90000000,207.23083353,66
32,6,0.9904577819857476,20.40000000,988.45362902,207
32,7,0.995487664998734,22.20000000,209.31429505,69
32,8,0.9934551662439605,23.25000000,1904.32869387,210
32,9,0.9950134592852679,21.60000000,160.54697132,53
32,10,0.995077011681686,22.80000000,191.70469332,63
32,11,0.9952630286151689,21.45000000,179.07862258,59
32,12,0.9957227933523869,23.40000000,186.08035064,61
32,13,0.9952519756498931,23.10000000,170.67889333,56
32,14,0.9952434889855231,21.45000000,157.99837637,52
32,15,0.9950087323959773,23.55000000,234.05157375,76
32,16,0.995261706732542,22.20000000,163.34746790,54
32,17,0.9931616914919225,23.55000000,1126.61147118,186
32,18,0.9953983204353145,22.95000000,171.25007296,56
32,19,0.9899310512258005,21.15000000,180.33084488,59
40,0,0.995615545502559,27.60000000,217.23037601,64
40,1,0.992055815254166,26.55000000,234.84778547,70
40,2,0.9950196447830885,27.15000000,223.85671139,67
40,3,0.9885759431029356,29.70000000,963.69951248,230
40,4,0.9952550807752466,28.95000000,334.94954538,100
40,5,0.9951323404998661,29.25000000,233.71412754,70
40,6,0.9952582284452063,29.55000000,310.69405818,92
40,7,0.9951292971383902,28.50000000,213.89208126,64
40,8,0.9906088171795416,28.80000000,861.91428542,226
40,9,0.9933160138495871,29.55000000,285.52877140,84
40,10,0.9907307103455855,29.70000000,969.28063703,252
40,11,0.9859246284318899,28.05000000,901.35276270,243
40,12,0.989078716099024,29.55000000,872.72904968,234
40,13,0.9907597901479647,26.55000000,264.43723941,78
40,14,0.9951718860373521,27.15000000,259.34300232,78
40,15,0.9842936050034863,27.30000000,888.60340810,224
40,16,0.9952527572513081,26.70000000,255.63155437,77
40,17,0.990051770113507,28.35000000,982.02569103,233
40,18,0.9951035642300365,29.55000000,265.41467857,80
40,19,0.9928582458806711,28.65000000,1479.64958024,230
48,0,0.9898187368890004,35.55000000,993.80130529,245
48,1,0.9878890551237363,34.95000000,1076.55861235,236
48,2,0.9921249380417181,35.85000000,1302.66867137,274
48,3,0.9892640562322672,33.75000000,1048.22517252,233
48,4,0.9870907508133558,32.85000000,1003.89768791,247
48,5,0.9950997360570971,30.00000000,255.15338778,70
48,6,0.9952460741296517,33.30000000,276.18101335,75
48,7,0.995132004252727,35.40000000,353.24918723,93
48,8,0.9950490741140913,33.30000000,356.01681638,98
48,9,0.992443474396214,34.65000000,1161.20151496,244
48,10,0.9950340447422155,33.60000000,378.29592037,103
48,11,0.9950256130337192,34.95000000,288.18880916,78
48,12,0.9898045311089461,34.20000000,1112.95596886,261
48,13,0.9950182526660216,34.80000000,285.94377422,78
48,14,0.9932368257332952,31.65000000,421.10956097,108
48,15,0.9950232305386146,35.40000000,432.54870272,118
48,16,0.9901301958002757,35.70000000,998.60223889,257
48,17,0.9930359822765564,35.70000000,1001.36884809,238
48,18,0.9951813434657087,35.55000000,399.04689646,109
48,19,0.9911022158629978,31.35000000,1215.13899922,260
56,0,0.9922667217060298,41.85000000,1237.25091600,268
56,1,0.9951749342069969,37.95000000,281.88651013,71
56,2,0.9864509378362818,39.45000000,1172.91660476,273
56,3,0.9845252797004119,38.10000000,1135.84200788,258
56,4,0.9897262768348357,40.80000000,1196.39035821,280
56,5,0.9935113361233663,39.60000000,1039.20967317,247
56,6,0.9925111838738532,37.65000000,1257.70525098,280
56,7,0.9926170945246335,38.10000000,1114.23980451,261
56,8,0.9950264454068184,40.20000000,471.40185595,117
56,9,0.9936542267587207,38.55000000,1255.65625072,260
56,10,0.994077100438803,40.35000000,1013.59976888,241
56,11,0.9951296388248196,40.20000000,402.90556145,100
56,12,0.9951262234531962,41.55000000,415.17334104,104
56,13,0.9920999367071615,38.10000000,1315.57226849,287
56,14,0.993321407974719,41.70000000,1340.23168039,270
56,15,0.9950458370517272,37.05000000,298.37496519,75
56,16,0.9918038180396483,39.45000000,1295.15234208,285
56,17,0.9917352687143165,36.00000000,1269.48963404,278
56,18,0.9909250113162777,38.25000000,1160.53267980,265
56,19,0.9889661483874078,41.25000000,1067.63466859,251
64,0,0.9939929703803677,42.60000000,1369.90290761,288
64,1,0.989034245508819,42.90000000,1229.87175989,260
64,2,0.9922967588025161,46.35000000,1419.06689763,269
64,3,0.9917236769432773,40.05000000,1601.53003120,320
64,4,0.9860389214809095,44.55000000,1432.73387599,283
64,5,0.9952761377815367,43.05000000,599.17478204,137
64,6,0.99279864324275,45.60000000,1518.44970441,315
64,7,0.9890609486061884,43.65000000,1585.96283412,332
64,8,0.9785405723713324,42.75000000,1525.33153105,296
